最新免笔试筛选方法,附件,超链接,截止日期,公告链接,招聘类型,备注,公司行业,是否免笔试,投递链接,标记,公司,工作地点,内推码,岗位,更新时间,父记录
,,,招满即停,https://mp.weixin.qq.com/s/iubw37MDhe1zLNccctAF6w?scene=1&click_id=3,春招,广西顺丰有五险一金带薪培训等,其他,含免笔试,https://campus.sf-express.com/m/?channelSource=1#/newGraduatesList?category=staffGroup&dicValue=A&optiontype=0,,广西顺丰,南宁,,"经营管理岗,行业营运岗,行业客户经理,物流运营,菁英计划-销售储备",2026-01-14,
,,,招满即停,https://mp.weixin.qq.com/s/IxZLnpa1SMebOYz57zqr4w,实习,CVTE视源股份有转正机会，娱乐设施全，导师带教，食宿补贴，自助餐厅,科技,含免笔试,https://campus.cvte.com/project/7304f092b3cc11f083a91070fd64d1d0,,CVTE视源股份,广州 | 合肥,,"电源硬件工程师,嵌入式硬件工程师,嵌入式系统软件工程师,应用软件工程师,销售工程师,销售订单管理,人力资源,算法工程师",2026-01-12,
,,,招满即停,https://mp.weixin.qq.com/s/Rrq7u1_L_OU7u5xqleG23w,实习,,游戏,含免笔试,https://campus.funplus.com.cn/,,FunPlus,北京 | 杭州 | 广州 | 成都,,【校招岗位】2D 宠物原画设计师、游戏用户研究； 【转正实习】SLG 游戏策划、游戏数值策划、游戏系统策划、游戏战斗策划、AI Agent 后端开发、客户端开发工程师、海外广告投放优化、Playable 广告美术； 【日常实习】小游戏策划、AI 视频编导实习生、Playable 广告开发、商业化运营、游戏产品运营、海外社区运营、法务实习生,2026-01-05,
,,,招满即停,https://mp.weixin.qq.com/s/daI0C9YtKAGayCsEiSbWoA,实习,,快消零售,含免笔试,https://mp.weixin.qq.com/s/daI0C9YtKAGayCsEiSbWoA,,时尚传媒集团,北京,,人力资源部实习生 集团市场部活动执行实习生 新媒体实习生,2025-12-25,
,,,招满即停,https://mp.weixin.qq.com/s/rhYugSsPd0RSVolFdGYptQ,26届秋招,长沙新东方有五险一金，入职商业保险，节假日福利，员工活动，带薪年假，福利礼金,教育,含免笔试,https://zhaopin.xdf.cn/jobs?activityGuid=b2e987d9-0958-4586-910c-0cb27947be8f,,长沙新东方,长沙,,儿童素养教师（脑力思维、双语绘本、博文妙笔） 中学智慧学习教师（物理、数学、英语） 高中个性化教师（物理、数学） 高中班级教师（物理、数学、英语） （均不限专业）,2025-12-23,
,,,招满即停,https://mp.weixin.qq.com/s/duDHvOYlov_KpJYMm7YWdQ,26届秋招,健萌有五险一金，带薪年假，节日关怀，节日补贴，体育类相关专业,快消零售,含免笔试,https://mp.weixin.qq.com/s/duDHvOYlov_KpJYMm7YWdQ,,健萌,南京 | 苏州 | 长沙 | 深圳,,健身教练（体育类相关专业，如:体育教育，健身指导与管理，社会体育指导与管理，运动康复，运动人体科学等专业）,2025-11-02,
,,,招满即停,http://mp.weixin.qq.com/s/qt6OpxzG31o5zRUIzBCrew,26届秋招,银宝山新有高薪资，月入过万，五险一金落户政策，多种福利，奖励补贴，生活保障,制造业,含免笔试,http://mp.weixin.qq.com/s/qt6OpxzG31o5zRUIzBCrew,,银宝山新,东莞 | 惠州 | 天津,,营销管培生(英语) （市场营销或商务英语等专业优先）管培生(生产管理)（机械制造或工业工程相关专业） 模具设计工程师（机械设计与制造专业） 品质工程师（机械工程，模具设计，工业工程等专业方向） 项目管培生（机械工程等相关专业） 营销管培生(日语)（日语相关等专业优先） 财务管培生（财务，会计等相关专业优先）,2025-11-02,
,,,26.2.28,https://mp.weixin.qq.com/s/bhSeWEJ881t0FkK4N-kQMg,26届秋招,,外企,含免笔试,https://careers.marriott.com/career-journeys/early-careers/jobs?filtercountry0=China&keyword=Voyage,,万豪国际【管培生】,北京 | 上海 | 苏州 | 武汉 | 广州 | 深圳 | 三亚 | 成都 | 西安 | 香港 | 澳门 | 台湾省,,房务部管培生 餐饮部管培生 市场销售部管培生 收益管理部管培生,2025-11-27,
,,,招满即停,https://mp.weixin.qq.com/s/7YNgY52Z5Zl5ITBI-0q5AA?scene=1&click_id=2,春招,双胞胎集团招聘四类，多种岗位,农业,含免笔试,https://wecruit.hotjob.cn/SU68020e2c1eb80570a8ba44e6/mc/position/campus,,双胞胎集团,全国各地,,养殖类、农户服务类、兽医育种类、机电环保类、销售类、食品生产 / 销售类、饲料营销类、饲料生产类、机电类、品管类、饲料研发类、采购管理岗、物流管理岗、财经类、人力资源类、IT 类、建筑工程类、流程管理类,2026-01-03,
,,,招满即停,https://mp.weixin.qq.com/s/Ln6lmvT3xyouVJBtZ7BL5g,实习,宽立资本【销售支持实习生】有工作补贴，实习证明，团队氛围融洽，导师指导,外企,含免笔试,https://aspectcapital-42aeea.careers.hibob.com/jobs/bf32d5ee-6877-495b-8c69-c26920936f7e/apply,,宽立资本【销售支持实习生】,上海,,销售支持实习生,2025-12-23,
,,,招满即停,https://mp.weixin.qq.com/s/5NlNx1Tpwui95ARcpyuiuA,秋招补录,宝宝巴士有竞争力薪酬，五险一金，双休节假日，导师带教，员工关怀，多种补贴，年终奖,教育,含免笔试,https://babybus.zhiye.com/campus?sessionid=,,宝宝巴士,福州,,产品策划类、美术设计类、技术研发类、音频音效类、综合运营类,2025-12-02,
,,,招满即停,https://mp.weixin.qq.com/s/fPmEmgqBfv-Se2zCSw9lmQ,26届秋招,润建股份有五险一金，带薪年假，多种补贴，晋升调薪，人才培养,互联网,含免笔试,https://wecruit.hotjob.cn/SU62de11c9bef57c63469824fd/pb/school.html?projectCode=203201&showProjectBanner=true,,润建股份,广州 | 南宁 | 全国各地 | 海外,,海外市场销售生，海外 SE 工程师，海外售前解决方案工程师，海外交付工程师，AI 开发工程师，智能体开发工程师，后端开发工程师，测试工程师，系统运维工程师，产品经理，SE 工程师，市场管培生，投标管培生，交付工程师，人力管培生，财经管培生，供应链管培生；需求专业：计算机科学与技术，软件工程，电子信息工程，人工智能，通信工程，工业设计，能源工程，新能源，能源与动力，电气工程，市场营销，工商管理，人力资源管理，心理学，会计学，财务管理，金融学，物流管理，供应链管理,2025-11-02,
,,,招满即停,https://mp.weixin.qq.com/s/DZbJpQoUub6vTsPvzXt0Yg,26届秋招,千里智驾免笔试，招聘多个岗位,汽车新能源,含免笔试,https://app.mokahr.com/campus-recruitment/mhr/140893?sourceToken=2a00bcf5639b990ddfdd51e9e9cf0df3&locale=zh-CN#/jobs?keyword=&page=1&anchorName=jobsList&commitment0=,,千里智驾,上海 | 北京 | 宁波 | 重庆,,算法类、开发类、交付类,2025-11-01,
,,,招满即停,https://mp.weixin.qq.com/s/JVt_nZH2vMq8oU41memeaA?scene=1&click_id=5,春招,建华控股有五险一金，生活补贴假期福利等,制造业,含免笔试,https://jianhuabm.zhiye.com/jobs?queryId=262333a3-8b82-400c-8f9f-c57811033059,,建华控股,上海 | 天津 | 广东 | 福建 | 江苏 | 安徽 | 湖北 | 河南 | 湖南 | 山西 | 山东 | 辽宁 | 吉林 | 河北 | 四川 | 江西 | 浙江 | 陕西 | 海南 | 甘肃 | 广西 | 全国各地,,营销管培生、财务管培生、采购管培生、技术管培生、人资行政管培生、物流管培生:,2026-01-14,
,,,招满即停,https://mp.weixin.qq.com/s/yV9w-d7Rlw8o59EJkxyxdw?scene=1,26届秋招,太平洋网络有多种文娱活动，双休节假日，多种福利，扁平化管理,互联网,含免笔试,https://wecruit.hotjob.cn/SU65ea88021eb80541008d8958/mc/position/campus,,太平洋网络,广州,,内容类、运营类、产品类、技术类,2025-12-15,
,,,招满即停,https://mp.weixin.qq.com/s/D1hKZO85cRhdut4yza5TSw,26届秋招 | 秋招补录,山东临工集团招聘多类岗位，2026届海内外毕业生,科技,含免笔试,https://hr.sdlg.cn/recruit#/portal_job_list?job_class=_HB5_Y2FtcHVz,,山东临工集团,济南 | 临沂,,职能管理类 运营管理类 智能制造类 研发技术类 全球营销类 全球群英会（专业要求：视觉识别，软件工程，信号与信息处理，电子信息工程，电机控制，电机与电器，控制，嵌入式，算法，自动化，测控，电气，机器人，机械，机电，车辆，液压，金属材料，能动，内燃机，工业设计，计算机，信息安全，物联网，大数据，人工智能，java，python，C/C++，ABAP，JavaScript（React/Vue 框架），英语，德语，法语，意大利语，西班牙语，俄语，阿拉伯语，印尼语，越南语，葡萄牙语，土耳其语，波斯语，市场营销，财务，会计，审计，法学，人力资源）,2025-11-30,
