日期,附件,企业名称,内推码
,,特斯拉,NTARw0L
,,腾讯云智,内推码: NTAAfSM
,,网龙网络,内推码：ESKP2A
,,美的,内推码：21419185
,,禾赛科技,13KJVDR
,,英科医疗,KQB9GNA
,,腾讯,内推码：8BI1H1EO
,,小红书,内推码：9HGT2MRV2PWY
,,信锐,内推码：NTAXkDh
,,雷赛智能,内推码：DSYQVj6N
,,淘天,
,,凡岛网络,
,,小鹏汽车（实习）,5CHWC75
,,搜狐畅游,内推码：NTAWsrz
,,三环,内推码:889285
,,长鑫存储,内推码：（工号+姓名）E07359 陶景明
,,顺丰科技, 内推码：3038CP
,,明基,内推码：ISKPA1
,,三七互娱,三七互娱内推码：NTAKTPN
,,康冠,「内推码」ESKMH0
,,小鹏汽车,"R2C5B95
QBW7CGR
9YU6PM3
5CHWC75"
,,零跑汽车,内推码：ISKEBK
,,商米,
,,汇川技术,IZVN3T
,,格兰菲,
,,英科医疗,内推码：92EUHHZ
,,用友,内推码:aTM7VF79
,,贝壳找房,IVKM9R
,,中兴通信,NTA7NBt
,,英集芯,内推码：10004042
,,卓胜微,【内推码】EVBJA8
,,三星sangsung,【内推码】EVVMJ1
,,莉莉丝,内推码：8EH4P8E
,,泰隆银行,
,,深信服,NTA7F27
,,茄子科技,内推码：EVKPT0
,,CVTE,内推链接
,,德州仪器,NTAbbpb
,,图森未来,内推码：NTAMmRc
,,舜宇集团,内推码：DS9VfCM9
,,MetaApp,
,,格力电器,【推荐码】ESKYBB
,,思特威,内推码：DScE8wDB
,,蔚来, 内推码：T8XCW6N
,,OPPO,推荐码：80397645
,,三环集团,内推码：822857
,,得物,内推码：KKRTKZD
,,元戎启行,内推码：NTAULGS
,,影石insta360,【内推码】EVKYAH
,,沐瞳科技,沐瞳科技校招内推码: BE2Y3ZS
,,诗悦网络,内推码：NTAXmvC
,,字节跳动（实习）,59992D3
,,虎牙,NTAH1vA
,,远景科技,NTAKRjH
,,搜狐畅游,DSphzPFf
,,蔚来汽车,T8XCW6N
,,万得,内推码：2023cwc1
,,三环集团,内推码【845521】
,,基恩士,内推码:ESKG3B
,,小米,内推码：W1Z6WRS 【免笔试直通面试】
,,恒生电子,内推码：IVKCV3
,,北方华创,IZBPVR
,,地平线,内推码：pfekuf
,,UR,【内推码】DSaH9My5
,,中审众环会计师事务所,ESVM8K
,,美团,内推码：N2W87QA
,,安克创新,内推码: Z4V2CFS
,,杭州银行,
,,卓越教育,【内推码】lnepdk
,,吉利汽车,DSNY3hDr
,,米哈游,4HPWV
,,中国重汽,X42497
,,莉莉丝,内推码：8EH4P8E
,,阿维塔,GPZ5V4N
,,美团,7EV2AEY
,,兆易创新,NTAYzUA
,,拼多多,内推码：jPfncAuzJg
,,网易游戏,内推码JC2tAF
,,途虎养车,内推码：DSUqhd6n
,,元戎,【内推码】NTA6Sss
,,理想汽车（理想+）,
,,百度,内推码：IVS602
,,远景,内推码：NTAW7rk
,,Momenta,
,,科华数据,内推码：DSd2QHUe
,,晶丰明源,内推链接
,,贝壳找房,内推码：IVVGT9
,,国科微电子,ESKM1B
,,麦米电气,tkmvgo
,,realme,内推码：nfgqfc
,,招商银行,内推码：WSEKNG
,,vivo,内推码：IVSJ9S
,,微众银行,内推码NTAAdvT
,,小鹏,
,,TCL,【内推码】tjmzfc
,,立白,内推码【ESKMSH】
,,亚信安全,内推码: 1V2H3HU
,,字节跳动,内推码: SM571JB
,,荣耀,内推码：guskja
,,维信诺,内推码：DS4q2J1A
,,长亭科技,内推码：NTAWkpg
,,温氏股份,内推码：DS4FsbqW
,,嘉士伯,
,,ATL宁德新能源,内推码：zplmlh
,,海康威视,内推码：36KAB4
,,猿辅导,内推码 NTAV3cq
,,腾讯云智,
,,紫龙游戏,内推码：DSH52qk8
,,米哈游,内推码：6LZ7S
,,天翼云,内推码：fukxlk
,,wps金山办公,内推码NTAXv31
,,数字马力,内推码：NTAZ5zL
,,九阳,ESVP3J
,,传音控股,内推码：IVB4KA
,,Tp-Link,内推码：ESKJ91
,,贝壳找房,内推码：IV3P0J
,,SHEIN,内推码：NTA6WwC
,,联影医疗,
,,远景能源,内推码：DSX5UTws
,,康龙化成,内推码：DSgCEz6s
,,京东,C4WUH
,,唯品会,内推码：NTAAe9N
,,中兴通讯,内推码：NTA7jji
,,理想汽车,
,,星纵物联,内推码：ESVMA0
,,vivo,"IV3R81
IS9TKV
IVVESA"
,,乐鑫科技,25001
,,4399游戏,"59awh
2ox5w"
,,TP-Link联洲,"S3CR3
ISVE13
IS3CR3"
,,鹰角网络,NTADvq6
,,携程,内推码：NTAN4mJ
,,大华,内推码：DH2024014
,,科大讯飞,内推码：ALQPA27
,,北森云计算,IXBMA8
,,牧原,NTA7p8q
,,度小满,内推码 NTALMpH
,,旷视科技,内推码：DSEfuj8J
,,上海爱数,内推码:MJQ5011
,,新国都,内推码： DSE9vKFb
,,曼伦,内推码：DS55fcAa
,,北森（实习）,IXBGV1
,,长鑫存储,内推链接
,,基恩士,
,,招银网络,内推码：CBLYXP
,,叠纸游戏,内推码: 85KYJUP
,,满帮集团,内推码：NTAWvjL
,,欧莱雅实习内推,实习内推【LOREAL019600】
,,韶音科技,内推码：DSk7aFnK
,,京东方,SW927
,,TP-Link联洲国际,IVKPTK
,,安克创新,内推链接
,,360,内推码：IVVT32
,,特斯拉,内推码：DSMpSbs3
,,阿里灵犀互娱,
,,合合信息,内推码： ESKMBB
,,柏楚电子,内推码： ESVMJ9
,,康冠科技,ES3PVV
,,CVTE,内推码：CVTE2024GZCWC
,,学而思,内推码：DSxhH5A9
,,亿纬锂能,内推码:snzcvw
,,海信,内推码：ISKEJK
,,安克创新,8S1XAJJ 
,,美团,3LJJFTN
,,KK集团,内推码：IVKMTV
,,广联达,内推码：NTAXmpU
,,富途, 内推码：DSqB2Fje
,,博世,内推码：NTAX7hi
,,诺瓦星云,
,,松下集团,
,,4399,内推码：512a7
,,英威腾,推荐码：ISKP9S
,,绿盟科技,内推码：NTAXfGr
,,柏楚电子,IVKMH0
,,网易雷火,内推链接
,,字节跳动,内推码: PJJFCR3
,,滴滴,内推码：NTADmZ8
,,少年得到,
,,帆软,【内推码】BHGZQR
,,海尔,【内推码】GHJ096
,,华硕科技,IVBT19
,,京东,内推码：C41KW
,,亚控科技,内推码：DSkcWU2t
,,中望软件,内推码：DSsQzV3e
,,柠檬微趣,内推码：NTA0tU4
,,中科闻歌,内推码：ESKM8B
,,云和恩墨,【内推码】NTANAPh
,,锐捷网络,内推码 ：DSMbX4hJ
,,小熊电器,DSHakx3k
,,顺丰,【内推码】 9L61ZX
,,叮咚买菜,内部推荐码：ESVGHA
