字段 13,字段 9,字段 10,字段 12,字段 8,公司,字段 1,字段 15,字段 6,父记录 2,链接,字段 5,字段 4,字段 2,字段 3,公司2,字段 7,链接2,字段 14,父记录,字段 11,字段 16
,,,,,"中国烟草人才招聘平台 | 

 | 中国烟草人才招聘平台",,,,,,,中国铁路人才招聘网,,,,,国家电网官方招聘平台,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,国家电网有限公司,,,,,http://www.sgcc.com.cn/,,,,,中国有色矿业集团有限公司,,http://www.cnmc.com.cn/cnmc/index.html,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国通用技术(集团)控股有限责,,,,,https://www.gt.cn/,,,,,南光(集团)有限公司[中国南光集团有限公司],,http://www.namkwong.com.mol,,,,
,,,,,中国航空发动机集团有限公司,,,,,https://www.aecc.cn/,,,,,中国机械科学研究总院集团有限公司,,https://www.cam.com.cn/,,,,
,,,,,中国华电集团有限公司,,,,,http://www.chd.com.cn/site/2/index.html,,,,,中国国际技术智力合作集团有限公司,,http://www.ciic.com.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,国务院国有资产监督管理委员会,,,,,http://www.sasac.gov.cn/n2588035/n2588325/n2588350/index.html,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国华能集团有限公司,,,,,https://www.chng.com.cn/,,,,,有研科技集团有限公司,,https://www.grinm.com/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国航天科技集团有限公司,,,,,https://www.spacechina.com/n25/index.html,,,,,中国旅游集团有限公司[香港中旅(集团)有限公司,,https://www.ctg.cn/,,,,
,,,,,天津,山东,,,,,西藏,,,宁夏,江苏,,,,,,
,,,,,河北,河南,,,,,新疆,,,吉林,安徽,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中粮集团有限公司,,,,,中粮集团有限公司,,,,,中国华录集团有限公司,,https://www.hualu.com.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,地方社保局（事业编公告）,,,,,,,,,,,,,,,,
