公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
贝恩,,信贷投资团队 (Credit) 私募股权团队 (Private Equity) 房地产团队 (Real Estate) 特殊机会投资团队 (Special Situations),,,,,海外,2026届,2026-01-19,外企,,,外企 | 专业服务,招满为止,实习,,https://mp.weixin.qq.com/s/dmtbs4pFc5wpFIAj5GS-fw?click_id=7,,https://admin.paperball-edu.com/announcements/40395/edit
小红书,,RED HR元气储备营,"本科, 硕士, 博士",/,/,/,上海 | 北京,2026 | 2027 | 2028届,2026-01-15,民企,,,IT/互联网/游戏,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34902,,https://job.xiaohongshu.com/campus/position/18473
渠成集团,,管培生计划（国内电商方向）,,/,,,宁波市,2025 | 2026届,2026-01-17,民企,,,电商/跨境电商/数字零售/零售互联网,招满为止,春招专场,,https://mp.weixin.qq.com/s/goYNz_1HV4Yw9lcetYN-BA?scene=1&click_id=15,,https://www.lumilegend.cn/jiaruwomen/chubeirencai/index.html
石家庄新东方,,"高中教师,智慧学习教师,青少素养教师（专业要求：语文、数学、英语、物理、化学、生物、政治、历史、地理）",,,,,石家庄,2026届,2026-01-18,民企,,,教育,招满为止,春招专场,,https://mp.weixin.qq.com/s/x3T3oauNPO_NT_fmVew5fg,,https://m.xdf.cn/opt/?state=403706#/
星火教育,,精品小课堂管培生;精品课堂授课老师岗;职能岗位（市场运营岗;教研产品研发岗;教学管理岗;师资选聘岗）;精品课堂课堂授课老师（兼职/专职）;个性化授课老师,"本科, 硕士, 博士",/,/,/,广州,2026届,2026-01-16,民企,,,教育/培训/科研,尽快投递,春招提前批,,https://www.offerleida.com/detail?id=34983,,https://xhgz-hrm.xiao100.com/pages/home/index
中国城市规划设计研究院,,招聘岗位为专业技术岗位，参与院承担的规划、工程和建筑设计等各类项目、科研课题、公益服务，具体岗位和专业由院统一调整分配，详见附件《中国城市规划设计研究院2026年度公开招聘专业岗位表》。,"本科, 硕士, 博士",有笔试,/,应聘人员应认真填写报名信息，保证信息真实准确，过期不受理，有弄虚作假行为将取消资格,上海 | 保定 | 北京 | 厦门 | 武汉 | 深圳 | 重庆,2026届,2026-01-15,事业单位,,,房地产业/建筑业,2026-01-22,春招专场,,https://www.offerleida.com/detail?id=34975,,https://caupd2026.zhaopin.com/job/index.html
汇博招聘,,校园大使,"本科, 硕士, 博士",/,/,/,全国多地,2026 | 2027 | 2028届,2026-01-15,民企,,,IT/互联网/游戏,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34905,,https://mp.weixin.qq.com/s/MkP5o1fxqnUQNC-0guvIpw
中国电科27所,,电子信息类 通信技术类 光电类 计算机软件类 测绘遥感类 飞行器设计,"硕士, 博士",/,"电子信息类,通信技术类,光电类,计算机软件类,测通遥感类,飞行器设计",/,郑州,2026届,2026-01-11,事业单位,,,教育/培训/科研,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34861,,https://job.91boshuo.com/h5/campusRecruitment?positionsClass=1&ct=MTk2Mjc2MDk4NzI2MzA4MjQ5Nw%3D%3D
浙江富浙科技有限公司,,实习生,"本科, 硕士, 博士",/,/,/,杭州,2026 | 2027 | 2028届,2026-01-11,央国企,,,IT/互联网/游戏,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34728,,投递邮箱： | hr2@zjftco.com
南京造币有限公司,,机械设计员,"硕士, 博士",有笔试,机械制造及其自动化、机械电子工程、机械设计及理论等相关专业,报名时须按要求填写个人信息，与教育经历上的院校及专业全称保持一致。报名人员应对所提交的不实资料承担责任。凡与实际不符、弄虚作假、抄袭或伪造、变造有关证件、材料、信息，骗取考试资格的，一经查实，一律取消报名、处理、聘用资格。,南京,2026届,2026-01-10,央国企,,,机械/制造业,2026-02-28,春招专场,,https://www.offerleida.com/detail?id=34844,,https://mp.weixin.qq.com/s/2l-maHyPGNL4f1EYi8pjhw
湖南中电星河电子有限公司,,算法工程师 六性工程师 项目助理 信息化专员 董事会事务专员 综合专员,,,,,长沙,2026届,2026-01-19,央国企,,,国企,招满为止,春招专场,,https://mp.weixin.qq.com/s/ervNvoD0DFRlGN8qWl-ltA,,https://mp.weixin.qq.com/s/ervNvoD0DFRlGN8qWl-ltA
