year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2024,公务员,2024安徽公安法检招录,亳州市公安局,2402001 亳州市公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第二批；性别：男；年龄：30周岁以下；招聘人数：44；分数线：35.22；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2402002 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第二批；性别：女；年龄：30周岁以下；招聘人数：10；分数线：54.16；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2402003 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第二批；性别：男；年龄：30周岁以下；招聘人数：34；分数线：52.66；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2402004 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第二批；性别：男；年龄：30周岁以下；招聘人数：96；分数线：40.14；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2402005 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第二批；性别：女；年龄：30周岁以下；招聘人数：4；分数线：67.26；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024001 亳州市公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：152；分数线：46.46；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024002 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：50；分数线：62.02；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024003 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：50；分数线：59.78；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024004 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：女；年龄：30周岁以下；招聘人数：28；分数线：67.96；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024005 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：32；分数线：57.12；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024006 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：1；分数线：66.4；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024007 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：1；分数线：65.06；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024008 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：1；分数线：67.14；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024009 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：1；分数线：60.28；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024010 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：1；分数线：57.86；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024011 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：1；分数线：63.4；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,亳州市公安局,2024012 亳州市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：1；分数线：70.88；城市：亳州,安徽 亳州市直,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局金安分局,20240701 六安市公安局金安分局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：2；分数线：61.84；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局金安分局,20240702 六安市公安局金安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：女；年龄：30周岁以下；招聘人数：2；分数线：78.08；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局金安分局,20240703 六安市公安局金安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：13；分数线：72.0；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局金安分局,20240704 六安市公安局金安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：64.48；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局金安分局,20240705 六安市公安局金安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：64.52；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局金安分局,20240706 六安市公安局金安分局,本科及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：2；分数线：62.16；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局金安分局,20240707 六安市公安局金安分局,本科及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：2；分数线：77.24；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局裕安分局,20240708 六安市公安局裕安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：5；分数线：67.96；城市：六安,安徽 裕安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局裕安分局,20240709 六安市公安局裕安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：69.0；城市：六安,安徽 裕安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局裕安分局,20240710 六安市公安局裕安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：女；年龄：30周岁以下；招聘人数：2；分数线：81.12；城市：六安,安徽 裕安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局裕安分局,20240711 六安市公安局裕安分局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：8；分数线：68.12；城市：六安,安徽 裕安区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局开发区分局,20240712 六安市公安局开发区分局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：4；分数线：63.8；城市：六安,安徽 经开区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局叶集分局,20240713 六安市公安局叶集分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：10；分数线：52.8；城市：六安,安徽 叶集区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局叶集分局,20240714 六安市公安局叶集分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：10；分数线：46.32；城市：六安,安徽 叶集区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局叶集分局,20240715 六安市公安局叶集分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：11；分数线：57.24；城市：六安,安徽 叶集区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,六安市公安局叶集分局,20240716 六安市公安局叶集分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：女；年龄：30周岁以下；招聘人数：2；分数线：74.28；城市：六安,安徽 叶集区,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,霍邱县公安局,20240717 霍邱县公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：22.12；城市：六安,安徽 霍邱县,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,霍邱县公安局,20240718 霍邱县公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：38.76；城市：六安,安徽 霍邱县,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,霍邱县公安局,20240719 霍邱县公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：57.2；城市：六安,安徽 霍邱县,https://www.xduim.com/zw/gafj,,
2024,公务员,2024安徽公安法检招录,霍邱县公安局,20240720 霍邱县公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：56.48；城市：六安,安徽 霍邱县,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250801 六安市公安局,本科及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：2；分数线：71.44；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250802 六安市公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：63.63；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250803 六安市公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：66.21；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250804 六安市公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：63.63；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250805 六安市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：73.72；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250806 六安市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：女；年龄：30周岁以下；招聘人数：10；分数线：76.99；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250807 六安市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：女；年龄：30周岁以下；招聘人数：10；分数线：78.64；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250808 六安市公安局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：35周岁以下；招聘人数：2；分数线：64.21；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250809 六安市公安局,本科及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：2；分数线：76.65；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局,20250810 六安市公安局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：9；分数线：75.08；城市：六安,安徽 六安市直,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局金安分局,20250811 六安市公安局金安分局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：35周岁以下；招聘人数：15；分数线：52.14；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局金安分局,20250812 六安市公安局金安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：71.99；城市：六安,安徽 金安区,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局裕安分局,20250813 六安市公安局裕安分局,高中（中专）及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：35周岁以下；招聘人数：15；分数线：57.23；城市：六安,安徽 裕安区,https://www.xduim.com/zw/gafj,,
2025,公务员,2025安徽公安法检招录,六安市公安局裕安分局,20250814 六安市公安局裕安分局,大专及以上,,,笔试+面试,,,招考批次：第一批；性别：男；年龄：30周岁以下；招聘人数：15；分数线：71.64；城市：六安,安徽 裕安区,https://www.xduim.com/zw/gafj,,
