year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2025,公务员,2025安徽公开遴选,安庆市纪委监委,16001 安庆市纪委监委 纪检监察,本科及以上,不限,,笔试+面试,,,招聘职位：纪检监察；招聘人数：3；报名人数：55；分数线：63.5；最高分数：72.5,安徽 安庆市直,https://www.xduim.com/zw/gklx,,专业：不限
2025,公务员,2025安徽公开遴选,安庆市纪委监委,16002 安庆市纪委监委 纪检监察,本科及以上,不限,,笔试+面试,,,招聘职位：纪检监察；招聘人数：3；报名人数：44；分数线：62.0；最高分数：71.0,安徽 安庆市直,https://www.xduim.com/zw/gklx,,专业：不限
2025,公务员,2025安徽公开遴选,中共安庆市委社会工作部,16003 中共安庆市委社会工作部 社会治理,本科及以上,不限,,笔试+面试,,,招聘职位：社会治理；招聘人数：1；报名人数：71；分数线：66.0；最高分数：71.5,安徽 安庆市直,https://www.xduim.com/zw/gklx,,专业：不限
2025,公务员,2025安徽公开遴选,中共安庆市委政法委员会,16004 中共安庆市委政法委员会 执法司法 监督,本科及以上,不限,,笔试+面试,,,招聘职位：执法司法 监督；招聘人数：1；报名人数：18；分数线：62.5；最高分数：67.0,安徽 安庆市直,https://www.xduim.com/zw/gklx,,专业：不限
2025,公务员,2025安徽公开遴选,安庆市发展和改革委员会,16005 安庆市发展和改革委员会 机关综合,本科及以上,经济学门类、计算机类、航空航天类,,笔试+面试,,,招聘职位：机关综合；招聘人数：1；报名人数：23；分数线：62.0；最高分数：64.5,安徽 安庆市直,https://www.xduim.com/zw/gklx,,专业：经济学门类、计算机类、航空航天类
2025,公务员,2025安徽公开遴选,安庆市太湖县生态环境分局,16006 安庆市太湖县生态环境分局 综合管理,本科及以上,不限,,笔试+面试,,,招聘职位：综合管理；招聘人数：1；报名人数：12；分数线：58.0；最高分数：63.5,安徽 安庆市直,https://www.xduim.com/zw/gklx,,专业：不限
2025,公务员,2025安徽公开遴选,中共六安市纪律检查委员会六安市监察委员会机关,9001 中共六安市纪律检查委员会六安市监察委员会机关 审查调查,本科及以上,本科：法学专业、侦查学专业、经济犯罪侦查专业、计算机科学与技术专业 研究生：宪法学与行政法学（二级学科）、刑法学（二级学科）、诉讼法学（二级学科）、经济法学（二级学科）、计算机科学与技术（一级学科）,,笔试+面试,,,招聘职位：审查调查；招聘人数：4；报名人数：32；分数线：56.5；最高分数：73.0,安徽 六安市直,https://www.xduim.com/zw/gklx,,专业：本科：法学专业、侦查学专业、经济犯罪侦查专业、计算机科学与技术专业 研究生：宪法学与行政法学（二级学科）、刑法学（二级学科）、诉讼法学（二级学科）、经济法学（二级学科）、计算机科学与技术（一级学科）
2025,公务员,2025安徽公开遴选,中共六安市委讲师团,9002 中共六安市委讲师团 理论宣讲,本科及以上,不限,,笔试+面试,,,招聘职位：理论宣讲；招聘人数：1；报名人数：25；分数线：61.5；最高分数：66.0,安徽 六安市直,https://www.xduim.com/zw/gklx,,专业：不限
2025,公务员,2025安徽公开遴选,六安老年大学办公室,9003 六安老年大学办公室 教育教学管理,本科及以上,不限,,笔试+面试,,,招聘职位：教育教学管理；招聘人数：1；报名人数：42；分数线：65.0；最高分数：66.5,安徽 六安市直,https://www.xduim.com/zw/gklx,,专业：不限
2025,公务员,2025安徽公开遴选,六安市中级人民法院,9004 六安市中级人民法院 法官助理,本科及以上,本科：法学类 研究生：法学（一级学科）,,笔试+面试,,,招聘职位：法官助理；招聘人数：1；报名人数：11；分数线：60.5；最高分数：68.0,安徽 六安市直,https://www.xduim.com/zw/gklx,,专业：本科：法学类 研究生：法学（一级学科）
