year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 初中语文,本科及以上,中国语言文学类,,笔试+面试,,,学段：初级中学；学科：语文；招聘职位：初中语文；招聘人数：2,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：中国语言文学类
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 初中数学,本科及以上,数学类,,笔试+面试,,,学段：初级中学；学科：数学；招聘职位：初中数学；招聘人数：2,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：数学类
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 初中英语,本科及以上,英语专业,,笔试+面试,,,学段：初级中学；学科：英语；招聘职位：初中英语；招聘人数：2,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：英语专业
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 初中物理,本科及以上,物理学类,,笔试+面试,,,学段：初级中学；学科：物理；招聘职位：初中物理；招聘人数：1,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：物理学类
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 初中历史,本科及以上,历史学类,,笔试+面试,,,学段：初级中学；学科：历史；招聘职位：初中历史；招聘人数：2,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：历史学类
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 小学语文A,本科及以上,中国语言文学类；小学教育专业、教育学专业,,笔试+面试,,,学段：小学；学科：语文；招聘职位：小学语文A；招聘人数：5,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：中国语言文学类；小学教育专业、教育学专业
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 小学语文 B,本科及以上,中国语言文学类；小学教育专业、教育学专业,,笔试+面试,,,学段：小学；学科：语文；招聘职位：小学语文 B；招聘人数：5,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：中国语言文学类；小学教育专业、教育学专业
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 小学数学A,本科及以上,数学类；小学教育专业,,笔试+面试,,,学段：小学；学科：数学；招聘职位：小学数学A；招聘人数：2,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：数学类；小学教育专业
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 小学数学B,本科及以上,数学类；小学教育专业,,笔试+面试,,,学段：小学；学科：数学；招聘职位：小学数学B；招聘人数：2,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：数学类；小学教育专业
2024,教师,2024安徽教师招考,三山经开区教育文体局,三山经开区教育文体局 小学英语,本科及以上,英语专业,,笔试+面试,,,学段：小学；学科：英语；招聘职位：小学英语；招聘人数：1,安徽 芜湖三山经开区,https://www.xduim.com/zw/jszk,,专业：英语专业
