year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2025,三支一扶,2025安徽三支一扶招募,县教育局,3023 县教育局,本科及以上,专业不限,,笔试+面试,,,招募类别：支教；服务单位：基层学校；招聘人数：4；报名人数：28；合格人数：25；缴费人数：16,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：专业不限
2025,三支一扶,2025安徽三支一扶招募,县教育局,3024 县教育局,本科及以上,专业不限,,笔试+面试,,,招募类别：支教；服务单位：基层学校；招聘人数：2；报名人数：51；合格人数：40；缴费人数：25,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：专业不限
2025,三支一扶,2025安徽三支一扶招募,县教育局,3025 县教育局,大专及以上,专业不限,,笔试+面试,,,招募类别：支教；服务单位：基层学校；招聘人数：2；报名人数：110；合格人数：45；缴费人数：34,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：专业不限
2025,三支一扶,2025安徽三支一扶招募,县卫健委,3026 县卫健委,大专及以上,大专：5201临床医学类；520401K中医学、520402K中医骨伤、520403K针灸推拿;520102K口腔医学;5207公共卫生与卫生管理类;5202护理类。 本科：1002临床医学类；1005中医学类;100301K口腔医学、101006口腔医学技术;1004公共卫生与预防医学类;1011护理学类。 研究生：1002临床医学、1051临床医学;1003口腔医学（一级学科）、1052口腔医学;1005中医学、1057中医、1059针灸;1004 公共卫生与预防医学（一级学科）;1011护理学。,,笔试+面试,,,招募类别：支医；服务单位：基层卫生院；招聘人数：4；报名人数：438；合格人数：287；缴费人数：158,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：大专：5201临床医学类；520401K中医学、520402K中医骨伤、520403K针灸推拿;520102K口腔医学;5207公共卫生与卫生管理类;5202护理类。 本科：1002临床医学类；1005中医学类;100301K口腔医学、101006口腔医学技术;1004公共卫生与预防医学类;1011护理学类。 研究生：1002临床医学、1051临床医学;1003口腔医学（一级学科）、1052口腔医学;1005中医学、1057中医、1059针灸;1004 公共卫生与预防医学（一级学科）;1011护理学。
2025,三支一扶,2025安徽三支一扶招募,县卫健委,3027 县卫健委,大专及以上,大专：520502医学影像技术、520501医学检验技术、5203药学类； 本科：101003医学影像技术、101001医学检验技术、1007药学类； 研究生：100207影像医学与核医学、1058医学技术、1007药学、1055药学。,,笔试+面试,,,招募类别：支医；服务单位：基层卫生院；招聘人数：2；报名人数：263；合格人数：197；缴费人数：118,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：大专：520502医学影像技术、520501医学检验技术、5203药学类； 本科：101003医学影像技术、101001医学检验技术、1007药学类； 研究生：100207影像医学与核医学、1058医学技术、1007药学、1055药学。
2025,三支一扶,2025安徽三支一扶招募,县人社局,3028 县人社局,大专及以上,专业不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：乡镇站所；招聘人数：12；报名人数：993；合格人数：784；缴费人数：478,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：专业不限
2025,三支一扶,2025安徽三支一扶招募,县农业农村局,3029 县农业农村局,大专及以上,专业不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇站所；招聘人数：12；报名人数：906；合格人数：780；缴费人数：469,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：专业不限
2022,三支一扶,2022安徽三支一扶招募,县教育局,3014 县教育局,大专及以上,不限,,笔试+面试,,,招募类别：支教；服务单位：基层学校；招聘人数：20,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：不限
2022,三支一扶,2022安徽三支一扶招募,县卫健委,3015 县卫健委,大专及以上,中医学、中医骨伤、针灸推拿、中医康复技术、预防医学、公共卫生管理(大专)，中医学类、中西医结合类、针灸推拿学、康复治疗学、公共卫生与预防医学类（本科）,,笔试+面试,,,招募类别：支医；服务单位：基层卫生院；招聘人数：5,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：中医学、中医骨伤、针灸推拿、中医康复技术、预防医学、公共卫生管理(大专)，中医学类、中西医结合类、针灸推拿学、康复治疗学、公共卫生与预防医学类（本科）
2022,三支一扶,2022安徽三支一扶招募,县卫健委,3016 县卫健委,大专及以上,临床医学、医学影像技术、医学检验技术、卫生检验与检疫技术（大专），临床医学、医学影像学、医学影像技术、医学检验技术、卫生检验与检疫（本科）,,笔试+面试,,,招募类别：支医；服务单位：基层卫生院；招聘人数：5,安徽 亳州市利辛县,https://www.xduim.com/zw/szyf,,专业：临床医学、医学影像技术、医学检验技术、卫生检验与检疫技术（大专），临床医学、医学影像学、医学影像技术、医学检验技术、卫生检验与检疫（本科）
