year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2024,选调生,2024安徽省选调生,高校一,98241 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：4；报名人数：18；分数线：124.1；最高分：144.4,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校一,98251 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：4；报名人数：20；分数线：125.6；最高分：150.2,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,98341 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：6；报名人数：30；分数线：133.4；最高分：145.2,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,98342 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：2；报名人数：8；分数线：119.5；最高分：136.8,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,98351 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：10；报名人数：36；分数线：125.3；最高分：147.6,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,98352 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：5；分数线：125.1；最高分：137.2,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校三,98441 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：13；报名人数：223；分数线：133.3；最高分：142.7,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校三,98451 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：13；报名人数：223；分数线：132.3；最高分：143.7,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校一,38241 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：1；报名人数：10；分数线：127.8；最高分：148.3,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校一,38251 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：1；报名人数：7；分数线：131.8；最高分：136.1,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,38341 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：14；分数线：126.4；最高分：142.7,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,38342 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：2；报名人数：4；分数线：124.5；最高分：131.2,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,38351 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：7；报名人数：31；分数线：120.7；最高分：140.6,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,38352 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：1；报名人数：5；分数线：126.3；最高分：130.5,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校三,38441 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：10；报名人数：144；分数线：132.3；最高分：149.1,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校三,38451 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：12；报名人数：165；分数线：130.2；最高分：142.4,安徽 亳州市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校一,90001 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：4；报名人数：36；分数线：133.0；最高分：146.3,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校一,90002 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：4；报名人数：35；分数线：131.0；最高分：146.5,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,90003 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：37；分数线：133.9；最高分：148.3,安徽 六安市,https://www.xduim.com/zw/xuandiao,,
