year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,北京大学国家发展研究院,北京大学国家发展研究院 博士后-开放宏观经济研究领域,博士研究生,,,网申+考核,,,招聘人数：若干；薪酬：30万/年；单位性质：公立（国有）,北京 北京-北京,/job/detail/2265167.html,年薪30万+｜北京大学国家发展研究院2026年招聘开放宏观经济研究领域全职博士后,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,辽宁对外经贸学院,辽宁对外经贸学院 会计学/财务管理/资产评估专任教师丨急招，硕士可报,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：安家费/科研启动费；薪酬：面议；单位性质：民营（私营）,大连 辽宁-大连,/job/detail/2282160.html,,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,中山大学材料学院杨纯臻课题组,中山大学材料学院杨纯臻课题组 科研博士后-能源材料同步辐射技术应用研究,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：提供住房公寓；薪酬：面议；单位性质：公立（国有）,深圳 广东-深圳,/job/detail/2170353.html,年薪50W+，中山大学深圳校区材料学院2026年招聘能源材料同步辐射技术应用研究博士后,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,成都大学斯特灵学院,成都大学斯特灵学院 休闲体育专业教学助理,硕士研究生,,,网申+考核,,,招聘人数：若干；薪酬：面议；单位性质：公立（国有）,成都 四川-成都,/job/detail/2170445.html,成都大学斯特灵学院2026年休闲体育专业助教招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南方医科大学公共卫生学院,南方医科大学公共卫生学院 博士后-邹来泉教授团队,博士研究生,,,网申+考核,,,招聘人数：2；待遇标签：提供住房公寓/绩效奖金；薪酬：面议；单位性质：公立（国有）,广州 广东-广州,/job/detail/2184552.html,南方医科大学公共卫生学院邹来泉教授团队2026年博士后招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,西湖大学,西湖大学 理论科学研究院-综合行政岗（信息化方向）,硕士研究生,,,网申+考核,,,招聘人数：若干；薪酬：面议,杭州 浙江-杭州,/job/detail/2281840.html,西湖大学理论科学研究院-综合行政岗（信息化方向）招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,西湖大学,西湖大学 理论科学研究院-教务管理岗,硕士研究生,,,网申+考核,,,招聘人数：若干；薪酬：面议,杭州 浙江-杭州,/job/detail/2281839.html,西湖大学理论科学研究院-教务管理岗招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,西湖大学,西湖大学 博士后-免疫学/抗体工程/生物化学方向,博士研究生,,,网申+考核,,,招聘人数：1；待遇标签：落户办理/生活补贴；薪酬：面议,杭州 浙江-杭州,/job/detail/2281784.html,西湖大学生命科学学院李晓弈实验室博士后招聘启事,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,江西省生态环境科学研究与规划院,江西省生态环境科学研究与规划院 科研岗,博士研究生,,,网申+考核,,,招聘人数：5；待遇标签：科研启动费；薪酬：面议；有编制；单位性质：公立（国有）,南昌 江西-南昌,/job/detail/2103319.html,江西省生态环境厅直属事业单位省生态环境科学研究与规划院2026年高层次人才招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,西湖大学,西湖大学 博士后-基因编辑或高通量筛选（实验）方向,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：落户办理/生活补贴；薪酬：面议,杭州 浙江-杭州,/job/detail/2281783.html,西湖大学生命科学学院李晓弈实验室博士后招聘启事,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,深圳湾实验室,深圳湾实验室 研究助理（含实习生）-杨卡课题组,本科,,,网申+考核,,,招聘人数：若干；待遇标签：五险一金/带薪年假；薪酬：面议；单位性质：公立（国有）,深圳 广东-深圳,/job/detail/2281821.html,深圳湾实验室化学生物学研究所【杨卡课题组】2026年招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,深圳湾实验室,深圳湾实验室 博士后-杨卡课题组,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：五险一金/餐饮补贴；薪酬：面议；单位性质：公立（国有）,深圳 广东-深圳,/job/detail/2281820.html,深圳湾实验室化学生物学研究所【杨卡课题组】2026年招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,广东外语外贸大学南国商学院,广东外语外贸大学南国商学院 马克思主义学院专任教师,博士研究生,,,网申+考核,,,招聘人数：3；待遇标签：安家费/科研启动费；薪酬：面议；单位性质：民营（私营）,广州 广东-广州,/job/detail/1721286.html,广东外语外贸大学南国商学院马克思主义学院2026年招聘启事,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 博士研究生-会计,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：安家费/科研启动费；薪酬：20-35万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281833.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 博士研究生-电子商务,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：安家费/科研启动费；薪酬：20-35万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281832.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 博士研究生-全媒体电商运营,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：安家费/科研启动费；薪酬：20-35万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281831.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
