year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,中智重庆人力资源管理有限公司,中智重庆人力资源管理有限公司 实习生,大学本科,,,公开招聘,2026-07-28 ~ 2026-07-30,,招聘人数：1；月薪：2000-2000元；单位性质：机关；发布机构：湖北省人才服务局,湖北省 湖北省,https://www.hbggzp.cn/views/PostSearch/postDetali.html?t=2&GWID=2589415011036169213&GWLX=3,有经验者优先,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,中智经济技术合作股份有限公司,中智经济技术合作股份有限公司 市场部助理,普通高中,,,公开招聘,2026-07-28 ~ 2026-08-12,,招聘人数：3；月薪：3000-5000元；单位性质：机关；发布机构：湖北省人才服务局,湖北省 湖北省,https://www.hbggzp.cn/views/PostSearch/postDetali.html?t=2&GWID=2589415012120396797&GWLX=3,有经验者优先,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,六安市金安区孙岗镇刘能余家庭农场,六安市金安区孙岗镇刘能余家庭农场 保安,其他,,,公开招聘,2026-07-28 ~ 2026-08-15,,招聘人数：1；月薪：3500-5000元；单位性质：机关；发布机构：六安市人力资源管理服务中心,六安市 金安区,http://job.mohrss.gov.cn/cjobs/jobinfolist/cb21/showgw?id=80864740,敬业,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,南平雅阁国际大酒店有限公司,南平雅阁国际大酒店有限公司 前台,大学专科,,,公开招聘,2026-07-28 ~ 2026-08-12,,招聘人数：3；月薪：3000-3000元；单位性质：机关；发布机构：湖北省人才服务局,湖北省 湖北省,https://www.hbggzp.cn/views/PostSearch/postDetali.html?t=2&GWID=2589415013064115197&GWLX=3,有经验者优先,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,南平雅阁国际大酒店有限公司,南平雅阁国际大酒店有限公司 销售经理,其他,,,公开招聘,2026-07-28 ~ 2026-08-12,,招聘人数：1；月薪：4000-5000元；单位性质：机关；发布机构：湖北省人才服务局,湖北省 湖北省,https://www.hbggzp.cn/views/PostSearch/postDetali.html?t=2&GWID=2589415012617421821&GWLX=3,有经验者优先,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,广东南粤技工学校,广东南粤技工学校 语文老师,大学本科,,,公开招聘,2026-07-28 ~ 2026-07-31,,招聘人数：5；月薪：5500-6499元；单位性质：机关；发布机构：广州市人力资源和社会保障局,广州市 广州市,https://ggfw.hrss.gd.gov.cn/recruitment/internet/main/#/positionDetail?bbb911=1788822926405447681&bcb009=2082040818360467457,语文老师,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,广东南粤技工学校,广东南粤技工学校 电子商务老师,大学本科,,,公开招聘,2026-07-28 ~ 2026-07-31,,招聘人数：3；月薪：5500-6499元；单位性质：机关；发布机构：广州市人力资源和社会保障局,广州市 广州市,https://ggfw.hrss.gd.gov.cn/recruitment/internet/main/#/positionDetail?bbb911=1788822926405447681&bcb009=2082040817819402241,电子商务老师,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,中智（云南）经济技术合作有限公司,中智（云南）经济技术合作有限公司 招商运营经理,大学专科,,,公开招聘,2026-07-27 ~ 2026-08-11,,招聘人数：1；月薪：10000-20000元；单位性质：机关；发布机构：湖北省人才服务局,湖北省 湖北省,https://www.hbggzp.cn/views/PostSearch/postDetali.html?t=2&GWID=2585247562976986109&GWLX=3,有经验者优先,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,中国共产党昆明市呈贡区委员会组织部（昆明市呈贡区公务员局）,中国共产党昆明市呈贡区委员会组织部（昆明市呈贡区公务员局） 公益性岗位,普通高中,,,公开招聘,2026-07-27 ~ 2026-08-11,,招聘人数：1；月薪：3202-4402元；单位性质：机关；发布机构：云南人才市场,云南省 云南省,https://ynsjyj.cn/#/indexZp/positionInfo?acb210=346725729729721359&aab001=345010768802599876,负责呈贡区老年大学日常工作。,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,上海中智项目外包咨询服务有限公司,上海中智项目外包咨询服务有限公司 D&LKASALESPLANERTEMP0708233,大学本科,,,公开招聘,2026-07-24 ~ 2026-08-05,,招聘人数：1；月薪：8000-9000元；单位性质：机关；发布机构：湖北省人才服务局,湖北省 湖北省,https://www.hbggzp.cn/views/PostSearch/postDetali.html?t=2&GWID=2586606510605861885&GWLX=3,有经验者优先,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,永德县小勐统镇人民政府,永德县小勐统镇人民政府 城镇公益性岗位,小学,,,公开招聘,2026-07-23 ~ 2026-08-07,,招聘人数：10；月薪：1870-1870元；单位性质：机关；发布机构：云南人才市场,云南省 永德县,https://ynsjyj.cn/#/indexZp/positionInfo?acb210=346713966720726018&aab001=345010718089924845,专职负责劳动力转移就业、就业帮扶及政策宣传工作，稳定就业大局，畅通惠民政策落地“最后一公里”，提升公共就业服务水平，开展人居环境提升、日常巡查和整改管护工作，巩固人居环境整治成效，提升镇村村容风貌和宜居品质。,
2026,事业单位,2026公共招聘（机关·中国公共招聘网）,上海中智项目外包咨询服务有限公司,上海中智项目外包咨询服务有限公司 关务助理1630811,大学本科,,,公开招聘,2026-07-23 ~ 2026-08-09,,招聘人数：1；月薪：9000-9000元；单位性质：机关；发布机构：湖北省人才服务局,湖北省 湖北省,https://www.hbggzp.cn/views/PostSearch/postDetali.html?t=2&GWID=2586606511151121405&GWLX=3,"deorEconomicsispreferred)bull;3~5yearsofexperienceofImport/Exportprocess,1-2yearsofexperienceininternationalpurchasingorlogisticsispreferred.bull;StrongandagilitysenseofCTrelatedcompliance.bull;Basicknowledgeofoverseatrading/logistics/Customsclearance/CIQetc.bull;GoodcommandofEnglishbothinwritingandinoralbull;Detail-orientedandgoodcommunicationskillswithrelatedstakeholders.",
